id,first_name,email,phone_number,attended_live,time_in_live_room,created_at,updated_at,registration_date,event_date,,,,,,,,,
1525,Abbal kumar,abbal.kumar@email.com,719116398,,0:00:00,2025-01-28 15:03:13,2025-02-19 12:10:05,2024-12-09 13:27:00,2024-12-09 16:00:00,,,,,,,,,Abbas 
1487,Abbas ,abbas.@email.com,719113669,,0:00:00,2025-01-28 15:03:08,2025-02-19 12:09:54,2024-12-10 13:32:00,2024-12-10 16:00:00,,,,,,,,,Abdul Kumar
1484,Abdul Kumar,abdul.kumar@email.com,717771951,,0:00:00,2025-01-28 15:03:07,2025-02-19 12:09:53,2024-12-10 13:55:00,2024-12-10 16:00:00,,,,,,,,,Abdulla 
1392,Abdulla ,abdulla.@email.com,717983179,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:49,2024-12-11 12:42:00,2024-12-11 16:00:00,,,,,,,,,Abdullah Baghel
1471,Abdullah Baghel,abdullah.baghel@email.com,719897871,,0:00:00,2025-01-28 15:03:06,2025-02-19 12:09:49,2024-12-11 13:04:00,2024-12-11 16:00:00,,,,,,,,,Abha 
1469,Abha ,abha.@email.com,716289785,,0:00:00,2025-01-28 15:03:05,2025-02-19 12:09:48,2024-12-11 13:12:00,2024-12-11 16:00:00,,,,,,,,,Abhaki Patil
1455,Abhaki Patil,abhaki.patil@email.com,718830372,,0:00:00,2025-01-28 15:03:03,2025-02-19 12:09:44,2024-12-12 11:09:00,2024-12-12 16:00:00,,,,,,,,,Abhash 
1453,Abhash ,abhash.@email.com,719345347,,0:00:00,2025-01-28 15:03:03,2025-02-19 12:09:44,2024-12-12 11:28:00,2024-12-12 16:00:00,,,,,,,,,Abhay 
1452,Abhay ,abhay.@email.com,717989111,,0:00:00,2025-01-28 15:03:03,2025-02-19 12:09:43,2024-12-12 11:29:00,2024-12-12 16:00:00,,,,,,,,,Abhaysingh 
1451,Abhaysingh ,abhaysingh.@email.com,718754330,,0:00:00,2025-01-28 15:03:03,2025-02-19 12:09:43,2024-12-12 11:32:00,2024-12-12 16:00:00,,,,,,,,,Abhi Patil
1450,Abhi Patil,abhi.patil@email.com,717337751,,0:00:00,2025-01-28 15:03:03,2025-02-19 12:09:43,2024-12-12 11:40:00,2024-12-12 16:00:00,,,,,,,,,Abhijeet 
1449,Abhijeet ,abhijeet.@email.com,718667824,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:42,2024-12-12 11:56:00,2024-12-12 16:00:00,,,,,,,,,Abhijit Kumar
1448,Abhijit Kumar,abhijit.kumar@email.com,716203216,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:42,2024-12-12 12:15:00,2024-12-12 16:00:00,,,,,,,,,Abhilash 
1446,Abhilash ,abhilash.@email.com,719059641,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:41,2024-12-12 12:24:00,2024-12-12 16:00:00,,,,,,,,,Abhilasha purohit
1445,Abhilasha purohit,abhilasha.purohit@email.com,718780638,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:41,2024-12-12 12:35:00,2024-12-12 16:00:00,,,,,,,,,Abhimanu 
1444,Abhimanu ,abhimanu.@email.com,719604810,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:41,2024-12-12 12:45:00,2024-12-12 16:00:00,,,,,,,,,Abhimanyu 
1442,Abhimanyu ,abhimanyu.@email.com,719894758,,0:00:00,2025-01-28 15:03:02,2025-02-19 12:09:40,2024-12-12 13:19:00,2024-12-12 16:00:00,,,,,,,,,Abhinandan 
1441,Abhinandan ,abhinandan.@email.com,716383759,,0:00:00,2025-01-28 15:03:01,2025-02-19 12:09:40,2024-12-12 13:22:00,2024-12-12 16:00:00,,,,,,,,,Abhinash 
1418,Abhinash ,abhinash.@email.com,718329380,,0:00:00,2025-01-28 15:02:58,2025-02-19 12:09:31,2024-12-12 16:13:00,2024-12-12 19:00:00,,,,,,,,,Abhinav N
1411,Abhinav N,abhinav.n@email.com,717702625,,0:00:00,2025-01-28 15:02:57,2025-02-19 12:09:29,2024-12-12 16:33:00,2024-12-12 16:00:00,,,,,,,,,Abhinay 
1410,Abhinay ,abhinay.@email.com,719579272,,0:00:00,2025-01-28 15:02:57,2025-02-19 12:09:28,2024-12-12 16:45:00,2024-12-12 19:00:00,,,,,,,,,Abhinwav 
1391,Abhinwav ,abhinwav.@email.com,717887869,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:23,2024-12-13 12:10:00,2024-12-14 11:00:00,,,,,,,,,Abhiraj 
1389,Abhiraj ,abhiraj.@email.com,719347512,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:22,2024-12-13 12:11:00,2024-12-13 16:00:00,,,,,,,,,Abhisek 
1388,Abhisek ,abhisek.@email.com,717827025,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:22,2024-12-13 12:11:00,2024-12-13 16:00:00,,,,,,,,,Abhisekh joshi
1390,Abhisekh joshi,abhisekh.joshi@email.com,717011008,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:22,2024-12-13 12:11:00,2024-12-13 16:00:00,,,,,,,,,Abhishak 
1386,Aanya ,aanya.@email.com,716392373,,0:00:00,2025-01-28 15:02:54,2025-02-19 12:09:21,2024-12-13 12:20:00,2024-12-13 16:00:00,,,,,,,,,Abhishek Chaudhary
1385,Abhishak ,abhishak.@email.com,718179406,,0:00:00,2025-01-28 15:02:53,2025-02-19 12:09:21,2024-12-13 12:22:00,2024-12-14 11:00:00,,,,,,,,,Abhishekh 
1384,Abhishek Chaudhary,abhishek.chaudhary@email.com,718077784,,0:00:00,2025-01-28 15:02:53,2025-02-19 12:09:21,2024-12-13 12:30:00,2024-12-14 11:00:00,,,,,,,,,Abhishiek Patil
1378,Abhishekh ,abhishekh.@email.com,719345185,,0:00:00,2025-01-28 15:02:52,2025-02-19 12:09:19,2024-12-13 13:26:00,2024-12-13 16:00:00,,,,,,,,,Abhishik Chavan
1376,Abhishiek Patil,abhishiek.patil@email.com,719370447,,0:00:00,2025-01-28 15:02:52,2025-02-19 12:09:18,2024-12-13 13:28:00,2024-12-13 19:00:00,,,,,,,,,Abid Abina
1374,Abhishik Chavan,abhishik.chavan@email.com,717499898,,0:00:00,2025-01-28 15:02:52,2025-02-19 12:09:18,2024-12-13 14:05:00,2024-12-13 16:00:00,,,,,,,,,Abida Chauhan
1371,Abid Abina,abid.abina@email.com,718220724,,0:00:00,2025-01-28 15:02:52,2025-02-19 12:09:17,2024-12-13 14:26:00,2024-12-13 16:00:00,,,,,,,,,Abishak ARIF
597,Abida Chauhan,abida.chauhan@email.com,719555894,,0:00:00,2025-01-28 15:01:05,2025-02-19 12:09:17,2024-12-13 14:47:00,2024-12-13 19:00:00,,,,,,,,,Abishek 
1340,Abishak ARIF,abishak.arif@email.com,718247333,,0:00:00,2025-01-28 15:02:47,2025-02-19 12:09:08,2024-12-13 18:13:00,2024-12-13 19:00:00,,,,,,,,,Abrar 
1333,Abishek ,abishek.@email.com,719593625,,0:00:00,2025-01-28 15:02:46,2025-02-19 12:09:06,2024-12-14 10:40:00,2024-12-14 16:00:00,,,,,,,,,Abu 
1323,Abrar ,abrar.@email.com,718263990,,0:00:00,2025-01-28 15:02:45,2025-02-19 12:09:03,2024-12-14 14:50:00,2024-12-14 19:00:00,,,,,,,,,Abul Mal
1317,Abu ,abu.@email.com,719212807,,0:00:00,2025-01-28 15:02:44,2025-02-19 12:09:01,2024-12-14 18:52:00,2024-12-15 11:00:00,,,,,,,,,Achin 
1316,Abul Mal,abul.mal@email.com,719641900,,0:00:00,2025-01-28 15:02:44,2025-02-19 12:09:01,2024-12-14 21:31:00,2024-12-15 16:00:00,,,,,,,,,Adalat 
1315,Achin ,achin.@email.com,717703878,,0:00:00,2025-01-28 15:02:44,2025-02-19 12:09:00,2024-12-14 21:34:00,2024-12-15 19:00:00,,,,,,,,,Adan 
1314,Adalat ,adalat.@email.com,718765256,,0:00:00,2025-01-28 15:02:44,2025-02-19 12:09:00,2024-12-15 1:31:00,2024-12-15 16:00:00,,,,,,,,,Adarsh Shinde
1313,Adan ,adan.@email.com,718249624,,0:00:00,2025-01-28 15:02:44,2025-02-19 12:09:00,2024-12-15 11:44:00,2024-12-15 16:00:00,,,,,,,,,Adersen 
1309,Adarsh Shinde,adarsh.shinde@email.com,719737621,,0:00:00,2025-01-28 15:02:43,2025-02-19 12:08:59,2024-12-16 13:46:00,2024-12-17 11:00:00,,,,,,,,,Adesh 
1302,Adersen ,adersen.@email.com,718454826,,0:00:00,2025-01-28 15:02:42,2025-02-19 12:08:56,2024-12-17 14:41:00,2024-12-17 16:00:00,,,,,,,,,Adhish 
1290,Adesh ,adesh.@email.com,718168582,,0:00:00,2025-01-28 15:02:40,2025-02-19 12:08:53,2024-12-17 16:24:00,2024-12-17 19:00:00,,,,,,,,,Adi 
1288,Adhish ,adhish.@email.com,717841919,,0:00:00,2025-01-28 15:02:40,2025-02-19 12:08:52,2024-12-17 16:25:00,2024-12-17 19:00:00,,,,,,,,,Adiba Yelange
1280,Adi ,adi.@email.com,718655622,,0:00:00,2025-01-28 15:02:39,2025-02-19 12:08:50,2024-12-17 19:35:00,2024-12-18 16:00:00,,,,,,,,,Adil Shaikh
1278,Adiba Yelange,adiba.yelange@email.com,718692890,,0:00:00,2025-01-28 15:02:39,2025-02-19 12:08:49,2024-12-18 12:15:00,2024-12-18 19:00:00,,,,,,,,,Adisan 
1276,Adil Shaikh,adil.shaikh@email.com,718454908,,0:00:00,2025-01-28 15:02:38,2025-02-19 12:08:49,2024-12-18 12:17:00,2024-12-18 19:00:00,,,,,,,,,Aditi T
1274,Adisan ,adisan.@email.com,718333936,,0:00:00,2025-01-28 15:02:38,2025-02-19 12:08:48,2024-12-18 12:19:00,2024-12-19 11:00:00,,,,,,,,,Aditiya 
1273,Aditi T,aditi.t@email.com,718105442,,0:00:00,2025-01-28 15:02:38,2025-02-19 12:08:48,2024-12-18 12:22:00,2024-12-18 19:00:00,,,,,,,,,Aditya Lodha
1272,Aditiya ,aditiya.@email.com,719945088,,0:00:00,2025-01-28 15:02:38,2025-02-19 12:08:48,2024-12-18 12:32:00,2024-12-18 16:00:00,,,,,,,,,Adityalok 
1271,Aditya Lodha,aditya.lodha@email.com,718103465,,0:00:00,2025-01-28 15:02:38,2025-02-19 12:08:47,2024-12-18 14:18:00,2024-12-18 16:00:00,,,,,,,,,Adnan Bindu
1219,Adityalok ,adityalok.@email.com,719711286,,0:00:00,2025-01-28 15:02:31,2025-02-19 12:08:47,2024-12-18 15:41:00,2024-12-18 19:00:00,,,,,,,,,Adrash M
1260,Adnan Bindu,adnan.bindu@email.com,719108120,,0:00:00,2025-01-28 15:02:36,2025-02-19 12:08:44,2024-12-18 16:17:00,2024-12-19 11:00:00,,,,,,,,,Aejaz 
1256,Adrash M,adrash.m@email.com,716382933,,0:00:00,2025-01-28 15:02:36,2025-02-19 12:08:43,2024-12-18 18:24:00,2024-12-19 16:00:00,,,,,,,,,Aesha 
